referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC 124: St-Pierre vs Koscheck 2,2010-12-11,Montreal,Quebec,Canada,0.0,162.0,19.0,162.0,19.0,2.0,1.0,0.0,0.0,0:04
Herb Dean,3,F,M,KO/TKO,Punch to Head At Distance,2,2:59,UFC Fight Night: Kara-France vs. Albazi,2023-06-03,Las Vegas,Nevada,USA,0.0,73.0,40.0,71.0,39.0,8.0,3.0,0.0,0.0,2:28
Marc Goddard,3,F,M,Decision,Unanimous,3,5:00,UFC 284: Makhachev vs. Volkanovski,2023-02-11,Perth,Western Australia,Australia,0.0,126.0,78.0,104.0,59.0,4.0,3.0,0.0,0.0,4:47
Chris Tognoni,3,F,M,KO/TKO,Punches to Head From Guard,1,4:05,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Las Vegas,Nevada,USA,0.0,36.0,16.0,33.0,14.0,0.0,0.0,0.0,0.0,0:00
Chris Tognoni,3,F,M,KO/TKO,Punch to Head At Distance,1,0:46,UFC 260: Miocic vs. Ngannou,2021-03-27,Las Vegas,Nevada,USA,1.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,0.0,0:04
Herb Dean,3,F,M,KO/TKO,Punches to Head At Distance,1,1:33,UFC Fight Night: Waterson vs. Hill,2020-09-12,Las Vegas,Nevada,USA,0.0,22.0,16.0,22.0,16.0,0.0,0.0,0.0,0.0,0:06
Jason Herzog,3,F,M,KO/TKO,Punch to Head At Distance,1,4:15,UFC 241: Cormier vs. Miocic 2,2019-08-17,Anaheim,California,USA,0.0,27.0,15.0,27.0,15.0,0.0,0.0,0.0,0.0,0:00
Mark Smith,3,F,M,Submission,Guillotine Choke In Clinch,3,2:53,UFC Fight Night: Poirier vs. Hooker,2020-06-27,Las Vegas,Nevada,USA,0.0,79.0,40.0,77.0,38.0,7.0,3.0,3.0,0.0,4:13
Lukasz Bosacki,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-17,Abu Dhabi,Abu Dhabi,United Arab Emirates,0.0,84.0,29.0,72.0,20.0,11.0,5.0,0.0,0.0,6:56
Herb Dean,3,F,M,Submission,Rear Naked Choke,1,2:11,UFC Fight Night: Makhachev vs. Green,2022-02-26,Las Vegas,Nevada,USA,0.0,16.0,13.0,4.0,3.0,0.0,0.0,1.0,0.0,2:03
