fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y,winner
2178.0,0.0,6.0,4.0,2.0,0.0,3.0,1.0,1.0,0.0,1:30,Pete,Spratt,The Secret Weapon,175.26,170.0,,Orthodox,1971-01-09,25,23,0,,935,565.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0:00,2178.0
3290.0,0.0,32.0,18.0,20.0,6.0,3.0,3.0,1.0,0.0,5:31,Pete,Spratt,The Secret Weapon,175.26,170.0,,Orthodox,1971-01-09,25,23,0,,1407,565.0,0.0,29.0,15.0,21.0,7.0,0.0,0.0,0.0,1.0,0:20,3290.0
1486.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1:18,Pete,Spratt,The Secret Weapon,175.26,170.0,,Orthodox,1971-01-09,25,23,0,,697,565.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0:02,1486.0
3828.0,0.0,144.0,66.0,123.0,45.0,4.0,3.0,1.0,1.0,5:28,Tateki,Matsuda,Tech,170.18,125.0,,Orthodox,1986-02-27,13,8,0,,5669,1817.0,0.0,142.0,70.0,111.0,41.0,1.0,0.0,0.0,1.0,1:52,3828.0
2595.0,0.0,80.0,65.0,42.0,28.0,3.0,3.0,0.0,0.0,--,Carlos,Newton,The Ronin,175.26,170.0,,Orthodox,1976-08-17,16,14,0,,333,1486.0,2.0,43.0,30.0,32.0,20.0,3.0,2.0,1.0,0.0,--,2595.0
2482.0,0.0,123.0,104.0,77.0,58.0,6.0,4.0,1.0,0.0,16:17,Carlos,Newton,The Ronin,175.26,170.0,,Orthodox,1976-08-17,16,14,0,,671,1486.0,0.0,14.0,8.0,9.0,3.0,1.0,0.0,1.0,1.0,0:52,2482.0
2482.0,0.0,20.0,14.0,14.0,8.0,4.0,4.0,1.0,0.0,4:04,Carlos,Newton,The Ronin,175.26,170.0,,Orthodox,1976-08-17,16,14,0,,595,1486.0,0.0,23.0,18.0,7.0,2.0,0.0,0.0,1.0,2.0,1:33,2482.0
257.0,0.0,151.0,124.0,36.0,22.0,4.0,3.0,1.0,1.0,9:27,Carlos,Newton,The Ronin,175.26,170.0,,Orthodox,1976-08-17,16,14,0,,795,1486.0,0.0,25.0,19.0,9.0,4.0,5.0,2.0,0.0,0.0,3:31,257.0
2595.0,1.0,77.0,53.0,54.0,31.0,1.0,1.0,1.0,0.0,--,Allan,Goes,,182.88,205.0,,Orthodox,1971-04-20,10,5,2,,325,2812.0,1.0,56.0,43.0,49.0,36.0,0.0,0.0,0.0,0.0,--,2595.0
3580.0,0.0,142.0,76.0,93.0,43.0,1.0,1.0,0.0,0.0,5:37,Vitor,Miranda,Lex Luthor,185.42,185.0,195.58,Orthodox,1979-03-10,12,5,0,,7259,1673.0,0.0,116.0,49.0,92.0,27.0,2.0,1.0,0.0,0.0,0:14,3580.0
