fight_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url_x,event_name,event_date,event_city,event_state,event_country,event_url,fight_stat_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url_y,fighter_f_name_fighter2,fighter_l_name_fighter2,fighter_nickname_fighter2,fighter_height_cm_fighter2,fighter_weight_lbs_fighter2,fighter_reach_cm_fighter2,fighter_stance_fighter2,fighter_dob_fighter2,fighter_w_fighter2,fighter_l_fighter2,fighter_d_fighter2,fighter_nc_dq_fighter2,fighter_url_fighter2,fighter_id,fighter_f_name_fighter1,fighter_l_name_fighter1,fighter_nickname_fighter1,fighter_height_cm_fighter1,fighter_weight_lbs_fighter1,fighter_reach_cm_fighter1,fighter_stance_fighter1,fighter_dob_fighter1,fighter_w_fighter1,fighter_l_fighter1,fighter_d_fighter1,fighter_nc_dq_fighter1,fighter_url_fighter1
2544,Dan Miragliotta,283.0,351.0,351.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,2:32,http://ufcstats.com/fight-details/fe936088ec4dcb0d,UFC 169: Barao vs Faber 2,2014-02-01,Newark,New Jersey,USA,http://ufcstats.com/event-details/fc31f896cde2bc2e,5088,0.0,122.0,51.0,96.0,36.0,0.0,0.0,1.0,0.0,2:30,http://ufcstats.com/fight-details/fe936088ec4dcb0d,Jamie,Varner,,172.72,155.0,180.34,Orthodox,1984-10-12,21,11,1,2.0,http://ufcstats.com/fighter-details/a54fc2d6fc224dc3,351,Abel,Trujillo,Killa,172.72,155.0,177.8,Orthodox,1983-09-18,15,8,0,1.0,http://ufcstats.com/fighter-details/e14b5aa06eea9653
2088,Anthony Hamlett,2039.0,351.0,351.0,3,F,Lightweight,M,KO/TKO,Knees to Body On Ground,2,3:56,http://ufcstats.com/fight-details/ed8944898353b526,UFC on FOX: Henderson vs Diaz,2012-12-08,Seattle,Washington,USA,http://ufcstats.com/event-details/d1e6a6536ee62517,4176,0.0,19.0,11.0,16.0,9.0,10.0,2.0,0.0,0.0,4:08,http://ufcstats.com/fight-details/ed8944898353b526,Marcus,LeVesseur,The Prospect,175.26,155.0,177.8,Southpaw,1982-07-17,22,7,0,,http://ufcstats.com/fighter-details/182f2b78582de3d8,351,Abel,Trujillo,Killa,172.72,155.0,177.8,Orthodox,1983-09-18,15,8,0,1.0,http://ufcstats.com/fighter-details/e14b5aa06eea9653
2832,Herb Dean,3017.0,3513.0,3017.0,3,F,Lightweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/ae0b5ab5bc4bb6a7,UFC 177: Dillashaw vs Soto,2014-08-30,Sacramento,California,USA,http://ufcstats.com/event-details/269d103c96a4c3a5,5664,0.0,130.0,71.0,80.0,23.0,0.0,0.0,1.0,1.0,0:07,http://ufcstats.com/fight-details/ae0b5ab5bc4bb6a7,Tony,Ferguson,El Cucuy,180.34,155.0,193.04,Orthodox,1984-02-12,26,9,0,,http://ufcstats.com/fighter-details/22a92d7f62195791,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
3283,Herb Dean,1693.0,3513.0,1693.0,3,F,Lightweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/6275b448b6c35f1f,UFC on FOX: Dillashaw vs. Barao II,2015-07-25,Chicago,Illinois,USA,http://ufcstats.com/event-details/0c3838c8f7c620c2,6566,0.0,127.0,61.0,110.0,45.0,3.0,2.0,0.0,0.0,2:10,http://ufcstats.com/fight-details/6275b448b6c35f1f,Jim,Miller,A-10,172.72,155.0,180.34,Southpaw,1983-08-30,36,17,0,1.0,http://ufcstats.com/fighter-details/d1941565abf50b16,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
2049,Josh Rosenthal,2364.0,3513.0,2364.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,1:06,http://ufcstats.com/fight-details/3195350c98c9491d,UFC on FX: Browne vs Bigfoot,2012-10-05,Minneapolis,Minnesota,USA,http://ufcstats.com/event-details/6a0b80a24f22e152,4098,1.0,38.0,18.0,36.0,17.0,0.0,0.0,0.0,0.0,0:03,http://ufcstats.com/fight-details/3195350c98c9491d,Michael,Johnson,The Menace,177.8,155.0,185.42,Southpaw,1986-06-04,22,19,0,,http://ufcstats.com/fighter-details/511e82663651438d,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
3454,John Hosegood,2052.0,3513.0,2052.0,3,F,Lightweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/0ad5c6752e679de5,UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Orlando,Florida,USA,http://ufcstats.com/event-details/80d918336163b80c,6908,0.0,148.0,72.0,132.0,59.0,6.0,3.0,2.0,0.0,1:34,http://ufcstats.com/fight-details/0ad5c6752e679de5,Nik,Lentz,The Carny,172.72,145.0,172.72,Orthodox,1984-08-13,30,12,2,1.0,http://ufcstats.com/fighter-details/6fb1ba67bef41b37,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
1789,Steve Mazzagatti,1464.0,3513.0,3513.0,3,F,Lightweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/68137e9ff22d426b,UFC 141: Lesnar vs Overeem,2011-12-30,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/91720876db0ee468,3578,0.0,122.0,67.0,98.0,44.0,2.0,0.0,1.0,1.0,0:19,http://ufcstats.com/fight-details/68137e9ff22d426b,Anthony,Njokuani,The Assassin,185.42,155.0,190.5,Orthodox,1980-03-01,16,12,0,1.0,http://ufcstats.com/fighter-details/6bf5a7d3e081ade2,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
2165,Neil Hall,811.0,3513.0,3513.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/530558f01ac425af,UFC on FUEL TV: Barao vs McDonald,2013-02-16,London,England,United Kingdom,http://ufcstats.com/event-details/4679a38cced7c64a,4330,0.0,47.0,23.0,23.0,4.0,0.0,0.0,5.0,0.0,0:00,http://ufcstats.com/fight-details/530558f01ac425af,Paul,Sass,,182.88,155.0,185.42,Orthodox,1988-08-04,14,2,0,,http://ufcstats.com/fighter-details/7b143a54451263d9,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
1656,Mario Yamasaki,226.0,3513.0,226.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/03938272fb7c3971,UFC Live: Hardy vs Lytle,2011-08-14,Milwaukee,Wisconsin,USA,http://ufcstats.com/event-details/4c8d6fde2dde07c4,3312,0.0,51.0,39.0,16.0,6.0,5.0,3.0,6.0,0.0,7:47,http://ufcstats.com/fight-details/03938272fb7c3971,Jacob,Volkmann,Christmas,175.26,155.0,180.34,Southpaw,1980-09-05,19,7,0,,http://ufcstats.com/fighter-details/6f81b6de2557739a,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
1548,Gary Copeland,539.0,3513.0,3513.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/bbbb4c62c35f5390,UFC Live: Sanchez vs Kampmann,2011-03-03,Louisville,Kentucky,USA,http://ufcstats.com/event-details/a54fc2d6fc224dc3,3096,0.0,55.0,21.0,45.0,12.0,6.0,2.0,4.0,0.0,3:43,http://ufcstats.com/fight-details/bbbb4c62c35f5390,Joe,Stevenson,Daddy,170.18,145.0,177.8,Orthodox,1982-06-15,33,16,0,,http://ufcstats.com/fighter-details/79899ecf62020f6d,3513,Danny,Castillo,Last Call,175.26,155.0,180.34,Orthodox,1979-08-25,17,10,0,,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
