fight_id,f_1,fighter_f_name_x,fighter_nickname_x,fighter_l_name_x,f_2,fighter_f_name_y,fighter_nickname_y,fighter_l_name_y,winner,num_rounds,result,result_details,finish_round,finish_time,fighter_height_cm_x,fighter_weight_lbs_x,fighter_reach_cm_x,fighter_stance_x,fighter_dob_x,fighter_w_x,fighter_l_x,fighter_d_x,fighter_nc_dq_x,fight_stat_id_x,fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y
7112,102.0,Nathaniel,The Prospect,Wood,2991.0,Andre,Touchy,Fili,102.0,3,Decision,Unanimous,3,5:00,167.64,145.0,175.26,Orthodox,1993-05-08,20,5,0,,14224,102.0,1.0,174.0,108.0,148.0,84.0,2.0,1.0,0.0,0.0,1:47,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,14223,2991.0,1.0,179.0,76.0,151.0,58.0,2.0,0.0,0.0,1.0,2:55
3593,983.0,Yair,El Pantera,Rodriguez,2991.0,Andre,Touchy,Fili,983.0,3,KO/TKO,"Kick to Head At Distance
      Switch Kick",2,2:15,180.34,145.0,180.34,Orthodox,1992-10-06,16,4,0,1.0,7186,983.0,1.0,68.0,39.0,53.0,25.0,2.0,2.0,0.0,0.0,3:54,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,7185,2991.0,0.0,40.0,20.0,31.0,11.0,2.0,1.0,0.0,0.0,0:07
4688,2364.0,Michael,The Menace,Johnson,2991.0,Andre,Touchy,Fili,2364.0,3,Decision,Split,3,5:00,177.8,155.0,185.42,Southpaw,1986-06-04,22,19,0,,9376,2364.0,0.0,122.0,70.0,116.0,65.0,3.0,0.0,0.0,1.0,1:30,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,9375,2991.0,0.0,120.0,40.0,117.0,37.0,4.0,2.0,1.0,0.0,3:21
3397,3803.0,Gabriel,Moggly,Benitez,2991.0,Andre,Touchy,Fili,2991.0,3,KO/TKO,Punches to Head At Distance,1,3:13,172.72,155.0,180.34,Southpaw,1988-06-15,23,11,0,,6794,3803.0,0.0,26.0,11.0,26.0,11.0,0.0,0.0,0.0,0.0,0:00,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,6793,2991.0,1.0,42.0,16.0,42.0,16.0,1.0,1.0,0.0,0.0,0:07
4424,3790.0,Dennis,The Menace,Bermudez,2991.0,Andre,Touchy,Fili,2991.0,3,Decision,Split,3,5:00,167.64,155.0,167.64,Orthodox,1986-12-13,17,9,0,,8848,3790.0,0.0,227.0,133.0,196.0,103.0,11.0,1.0,0.0,0.0,3:11,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,8847,2991.0,0.0,242.0,93.0,229.0,80.0,12.0,4.0,0.0,0.0,0:50
2901,3952.0,Felipe,Sertanejo,Arantes,2991.0,Andre,Touchy,Fili,2991.0,3,Decision,Unanimous,3,5:00,172.72,135.0,185.42,Orthodox,1988-02-09,18,10,1,2.0,5802,3952.0,0.0,78.0,43.0,63.0,29.0,5.0,3.0,1.0,2.0,5:14,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,5801,2991.0,0.0,135.0,66.0,102.0,42.0,8.0,5.0,1.0,2.0,6:32
3811,3224.0,Hacran,Barnabe,Dias,2991.0,Andre,Touchy,Fili,2991.0,3,Decision,Unanimous,3,5:00,172.72,155.0,175.26,Orthodox,1984-06-16,23,6,1,,7622,3224.0,0.0,91.0,46.0,69.0,25.0,13.0,4.0,1.0,0.0,5:33,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,7621,2991.0,1.0,151.0,72.0,124.0,45.0,2.0,1.0,0.0,1.0,2:20
4268,1996.0,Artem,The Russian Hammer,Lobov,2991.0,Andre,Touchy,Fili,2991.0,3,Decision,Unanimous,3,5:00,175.26,145.0,165.1,Southpaw,1986-08-11,13,15,1,1.0,8536,1996.0,0.0,140.0,77.0,116.0,55.0,2.0,0.0,0.0,0.0,0:22,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,8535,2991.0,1.0,166.0,76.0,145.0,55.0,6.0,5.0,0.0,0.0,4:28
3091,1261.0,Godofredo,,Pepey,2991.0,Andre,Touchy,Fili,1261.0,3,Submission,Flying Triangle,1,3:14,170.18,145.0,185.42,Orthodox,1987-07-02,13,6,0,,6182,1261.0,0.0,8.0,5.0,4.0,1.0,2.0,0.0,1.0,0.0,0:11,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,6181,2991.0,0.0,9.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,2:10
2407,2109.0,Jeremy,,Larsen,2991.0,Andre,Touchy,Fili,2991.0,3,KO/TKO,Punch to Head At Distance,2,0:53,177.8,145.0,177.8,Orthodox,1984-05-18,8,5,0,,4814,2109.0,0.0,53.0,30.0,45.0,23.0,2.0,1.0,0.0,0.0,1:44,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,4813,2991.0,0.0,113.0,63.0,105.0,55.0,1.0,1.0,0.0,0.0,0:40
