fight_id,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_f_name_fighter2,fighter_l_name_fighter2,fighter_nickname_fighter2,fighter_height_cm_fighter2,fighter_weight_lbs_fighter2,fighter_reach_cm_fighter2,fighter_stance_fighter2,fighter_dob_fighter2,fighter_w_fighter2,fighter_l_fighter2,fighter_d_fighter2,fighter_nc_dq_fighter2,fighter_f_name_fighter1,fighter_l_name_fighter1,fighter_nickname_fighter1,fighter_height_cm_fighter1,fighter_weight_lbs_fighter1,fighter_reach_cm_fighter1,fighter_stance_fighter1,fighter_dob_fighter1,fighter_w_fighter1,fighter_l_fighter1,fighter_d_fighter1,fighter_nc_dq_fighter1,fight_stat_id_x,fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_x,fighter_l_name_x,fighter_nickname_x,fighter_height_cm_x,fighter_weight_lbs_x,fighter_reach_cm_x,fighter_stance_x,fighter_dob_x,fighter_w_x,fighter_l_x,fighter_d_x,fighter_nc_dq_x,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y
7112.0,102.0,2991.0,0,3,F,Featherweight,M,Decision,Unanimous,3.0,5:00,Nathaniel,Wood,The Prospect,167.64,145.0,175.26,Orthodox,1993-05-08,20.0,5.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,14224.0,102.0,1.0,174.0,108.0,148.0,84.0,2.0,1.0,0.0,0.0,107.0,Nathaniel,Wood,The Prospect,167.64,145.0,175.26,Orthodox,1993-05-08,20.0,5.0,0.0,1.1536210680321872,14223.0,2991.0,1.0,179.0,76.0,151.0,58.0,2.0,0.0,0.0,1.0,175.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
3593.0,983.0,2991.0,0,3,F,Featherweight,M,KO/TKO,"Kick to Head At Distance
      Switch Kick",2.0,2:15,Yair,Rodriguez,El Pantera,180.34,145.0,180.34,Orthodox,1992-10-06,16.0,4.0,0.0,1.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,7186.0,983.0,1.0,68.0,39.0,53.0,25.0,2.0,2.0,0.0,0.0,234.0,Yair,Rodriguez,El Pantera,180.34,145.0,180.34,Orthodox,1992-10-06,16.0,4.0,0.0,1.0,7185.0,2991.0,0.0,40.0,20.0,31.0,11.0,2.0,1.0,0.0,0.0,7.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
4688.0,2364.0,2991.0,0,3,F,Featherweight,M,Decision,Split,3.0,5:00,Michael,Johnson,The Menace,177.8,155.0,185.42,Southpaw,1986-06-04,22.0,19.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,9376.0,2364.0,0.0,122.0,70.0,116.0,65.0,3.0,0.0,0.0,1.0,90.0,Michael,Johnson,The Menace,177.8,155.0,185.42,Southpaw,1986-06-04,22.0,19.0,0.0,1.1536210680321872,9375.0,2991.0,0.0,120.0,40.0,117.0,37.0,4.0,2.0,1.0,0.0,201.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
3397.0,3803.0,2991.0,1,3,F,Featherweight,M,KO/TKO,Punches to Head At Distance,1.0,3:13,Gabriel,Benitez,Moggly,172.72,155.0,180.34,Southpaw,1988-06-15,23.0,11.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,6794.0,3803.0,0.0,26.0,11.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,Gabriel,Benitez,Moggly,172.72,155.0,180.34,Southpaw,1988-06-15,23.0,11.0,0.0,1.1536210680321872,6793.0,2991.0,1.0,42.0,16.0,42.0,16.0,1.0,1.0,0.0,0.0,7.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
4424.0,3790.0,2991.0,1,3,F,Featherweight,M,Decision,Split,3.0,5:00,Dennis,Bermudez,The Menace,167.64,155.0,167.64,Orthodox,1986-12-13,17.0,9.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,8848.0,3790.0,0.0,227.0,133.0,196.0,103.0,11.0,1.0,0.0,0.0,191.0,Dennis,Bermudez,The Menace,167.64,155.0,167.64,Orthodox,1986-12-13,17.0,9.0,0.0,1.1536210680321872,8847.0,2991.0,0.0,242.0,93.0,229.0,80.0,12.0,4.0,0.0,0.0,50.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
2901.0,3952.0,2991.0,1,3,F,Featherweight,M,Decision,Unanimous,3.0,5:00,Felipe,Arantes,Sertanejo,172.72,135.0,185.42,Orthodox,1988-02-09,18.0,10.0,1.0,2.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,5802.0,3952.0,0.0,78.0,43.0,63.0,29.0,5.0,3.0,1.0,2.0,314.0,Felipe,Arantes,Sertanejo,172.72,135.0,185.42,Orthodox,1988-02-09,18.0,10.0,1.0,2.0,5801.0,2991.0,0.0,135.0,66.0,102.0,42.0,8.0,5.0,1.0,2.0,392.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
3811.0,3224.0,2991.0,1,3,F,Featherweight,M,Decision,Unanimous,3.0,5:00,Hacran,Dias,Barnabe,172.72,155.0,175.26,Orthodox,1984-06-16,23.0,6.0,1.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,7622.0,3224.0,0.0,91.0,46.0,69.0,25.0,13.0,4.0,1.0,0.0,333.0,Hacran,Dias,Barnabe,172.72,155.0,175.26,Orthodox,1984-06-16,23.0,6.0,1.0,1.1536210680321872,7621.0,2991.0,1.0,151.0,72.0,124.0,45.0,2.0,1.0,0.0,1.0,140.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
4268.0,1996.0,2991.0,1,3,F,Featherweight,M,Decision,Unanimous,3.0,5:00,Artem,Lobov,The Russian Hammer,175.26,145.0,165.1,Southpaw,1986-08-11,13.0,15.0,1.0,1.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,8536.0,1996.0,0.0,140.0,77.0,116.0,55.0,2.0,0.0,0.0,0.0,22.0,Artem,Lobov,The Russian Hammer,175.26,145.0,165.1,Southpaw,1986-08-11,13.0,15.0,1.0,1.0,8535.0,2991.0,1.0,166.0,76.0,145.0,55.0,6.0,5.0,0.0,0.0,268.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
3091.0,1261.0,2991.0,0,3,F,Featherweight,M,Submission,Flying Triangle,1.0,3:14,Godofredo,Pepey,,170.18,145.0,185.42,Orthodox,1987-07-02,13.0,6.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,6182.0,1261.0,0.0,8.0,5.0,4.0,1.0,2.0,0.0,1.0,0.0,11.0,Godofredo,Pepey,,170.18,145.0,185.42,Orthodox,1987-07-02,13.0,6.0,0.0,1.1536210680321872,6181.0,2991.0,0.0,9.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,130.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
2407.0,2109.0,2991.0,1,3,F,Featherweight,M,KO/TKO,Punch to Head At Distance,2.0,0:53,Jeremy,Larsen,,177.8,145.0,177.8,Orthodox,1984-05-18,8.0,5.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,4814.0,2109.0,0.0,53.0,30.0,45.0,23.0,2.0,1.0,0.0,0.0,104.0,Jeremy,Larsen,,177.8,145.0,177.8,Orthodox,1984-05-18,8.0,5.0,0.0,1.1536210680321872,4813.0,2991.0,0.0,113.0,63.0,105.0,55.0,1.0,1.0,0.0,0.0,40.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
