fighter_f_name_fighter1,fighter_l_name_fighter1,fighter_f_name_fighter2,fighter_l_name_fighter2,f_1,f_2,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,num_rounds,finish_round,finish_time,title_fight,weight_class,gender,result,result_details
Rashid,Magomedov,Anthony,Rocco Martin,1843.0,1912.0,0.0,50.0,24.0,42.0,18.0,8.0,1.0,1.0,0.0,6:02,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Rashid,Magomedov,Elias,Silverio,669.0,1912.0,0.0,119.0,57.0,118.0,56.0,0.0,0.0,0.0,0.0,0:00,3,3,4:57,F,Lightweight,M,KO/TKO,Punches to Head At Distance
Rashid,Magomedov,Rodrigo,Damm,3308.0,1912.0,0.0,117.0,42.0,104.0,37.0,4.0,0.0,0.0,0.0,1:48,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Sean,Soriano,Christos,Giagos,2846.0,600.0,0.0,55.0,23.0,54.0,22.0,5.0,3.0,1.0,0.0,0:59,3,2,0:59,F,Lightweight,M,Submission,D'Arce Choke On Ground
David,Onama,Mason,Jones,2334.0,1381.0,0.0,191.0,116.0,157.0,87.0,14.0,8.0,0.0,0.0,9:01,3,3,5:00,F,Lightweight,M,Decision,Unanimous
James,Krause,Bobby,Green,2728.0,2168.0,1.0,54.0,20.0,54.0,20.0,0.0,0.0,0.0,0.0,0:00,3,1,3:50,F,Lightweight,M,KO/TKO,Kick to Body At Distance
James,Krause,Jorge,Masvidal,1819.0,2168.0,1.0,176.0,85.0,157.0,69.0,4.0,2.0,0.0,1.0,3:00,3,3,5:00,F,Lightweight,M,Decision,Unanimous
James,Krause,Sam,Stout,519.0,2168.0,0.0,234.0,81.0,226.0,73.0,2.0,2.0,0.0,0.0,1:20,3,3,4:47,F,Lightweight,M,Submission,Guillotine Choke From Bottom Guard
James,Krause,Daron,Cruickshank,3349.0,2168.0,0.0,19.0,6.0,19.0,6.0,0.0,0.0,0.0,0.0,0:03,3,1,1:27,F,Lightweight,M,Submission,Rear Naked Choke
James,Krause,Jamie,Varner,283.0,2168.0,0.0,33.0,9.0,30.0,7.0,1.0,1.0,0.0,0.0,0:35,3,1,5:00,F,Lightweight,M,KO/TKO,"to    
      Ankle Injury"
Trevor,Peek,Erick,Gonzalez,2782.0,1279.0,0.0,35.0,11.0,29.0,7.0,6.0,4.0,0.0,0.0,2:15,3,1,4:59,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Victor,Martinez,Jordan,Leavitt,2085.0,1832.0,1.0,38.0,18.0,35.0,17.0,2.0,0.0,0.0,0.0,0:46,3,1,2:27,F,Lightweight,M,KO/TKO,Knees to Head In Clinch
Alex,Da Silva,Joe,Solecki,611.0,3319.0,0.0,144.0,91.0,82.0,33.0,4.0,1.0,3.0,0.0,4:51,3,3,5:00,F,Lightweight,M,Decision,Majority
Alex,Da Silva,Brad,Riddell,1042.0,3319.0,0.0,185.0,86.0,166.0,67.0,6.0,1.0,0.0,0.0,1:24,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Alex,Da Silva,Kazula,Vargas,284.0,3319.0,0.0,92.0,59.0,42.0,20.0,1.0,0.0,0.0,1.0,0:18,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Alex,Da Silva,Alexander,Yakovlev,78.0,3319.0,0.0,23.0,18.0,19.0,14.0,2.0,1.0,1.0,0.0,2:13,3,2,3:10,F,Lightweight,M,Submission,Schultz Front Headlock On Ground
Nurullo,Aliev,Rafael,Alves,4000.0,4033.0,0.0,36.0,25.0,17.0,6.0,0.0,0.0,2.0,1.0,1:18,3,3,5:00,F,Lightweight,M,Decision,Majority
Drew,Dober,Islam,Makhachev,1895.0,3200.0,0.0,119.0,102.0,25.0,15.0,4.0,3.0,2.0,0.0,9:26,3,3,1:37,F,Lightweight,M,Submission,Arm Triangle From Half Guard
Drew,Dober,Beneil,Dariush,3296.0,3200.0,0.0,69.0,41.0,65.0,37.0,5.0,2.0,1.0,0.0,5:17,3,2,4:41,F,Lightweight,M,Submission,Armbar On Ground
Drew,Dober,Alexander,Hernandez,2576.0,3200.0,0.0,115.0,41.0,108.0,34.0,5.0,3.0,0.0,0.0,1:07,3,2,4:25,F,Lightweight,M,KO/TKO,Punches to Head At Distance
Drew,Dober,Scott,Holtzman,2522.0,3200.0,0.0,115.0,79.0,69.0,38.0,5.0,2.0,0.0,0.0,3:59,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Drew,Dober,Olivier,Aubin-Mercier,3912.0,3200.0,0.0,56.0,30.0,53.0,27.0,0.0,0.0,1.0,1.0,1:33,3,2,2:57,F,Lightweight,M,Submission,Rear Naked Choke
Drew,Dober,Nick,Hein,2601.0,3200.0,0.0,148.0,87.0,105.0,50.0,6.0,2.0,0.0,0.0,4:15,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Drew,Dober,Joshua,Burkman,3621.0,3200.0,0.0,18.0,11.0,18.0,11.0,1.0,0.0,0.0,0.0,0:00,3,1,3:04,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Drew,Dober,Efrain,Escudero,3065.0,3200.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0:22,3,1,0:54,F,Lightweight,M,Submission,Guillotine Choke On Ground
Drew,Dober,Jamie,Varner,283.0,3200.0,0.0,10.0,4.0,10.0,4.0,2.0,0.0,0.0,0.0,0:00,3,1,1:52,F,Lightweight,M,Submission,Rear Naked Choke
Davi,Ramos,Islam,Makhachev,1895.0,1107.0,1.0,148.0,88.0,95.0,43.0,1.0,0.0,0.0,0.0,4:39,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Davi,Ramos,Chris,Gruetzemacher,2710.0,1107.0,0.0,110.0,57.0,97.0,46.0,0.0,0.0,0.0,0.0,0:15,3,3,0:50,F,Lightweight,M,Submission,Rear Naked Choke
Arman,Tsarukyan,Islam,Makhachev,1895.0,350.0,0.0,53.0,47.0,20.0,14.0,9.0,4.0,0.0,0.0,6:06,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Arman,Tsarukyan,Davi,Ramos,1107.0,350.0,0.0,122.0,49.0,103.0,33.0,5.0,0.0,0.0,0.0,0:18,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Arman,Tsarukyan,Olivier,Aubin-Mercier,3912.0,350.0,0.0,61.0,36.0,48.0,23.0,3.0,0.0,0.0,0.0,1:01,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Leo,Kuntz,Islam,Makhachev,1895.0,2151.0,0.0,80.0,53.0,50.0,32.0,5.0,3.0,1.0,0.0,3:00,3,2,2:38,F,Lightweight,M,Submission,Rear Naked Choke
Leo,Kuntz,Tae,Hyun Bang,3872.0,2151.0,1.0,124.0,68.0,109.0,54.0,1.0,1.0,2.0,1.0,0:25,3,3,5:00,F,Lightweight,M,Decision,Split
Josh,Emmett,Jon,Tuck,347.0,3087.0,0.0,181.0,54.0,180.0,53.0,1.0,0.0,0.0,0.0,0:07,3,3,5:00,F,Lightweight,M,Decision,Split
BJ,Penn,Frankie,Edgar,3122.0,1267.0,0.0,285.0,142.0,234.0,94.0,9.0,3.0,0.0,1.0,6:42,5,5,5:00,T,Lightweight,M,Decision,Unanimous
BJ,Penn,Jens,Pulver,1146.0,1267.0,0.0,186.0,122.0,98.0,38.0,1.0,1.0,0.0,4.0,8:21,5,5,5:00,T,Lightweight,M,Decision,Majority
Ernest,Chavez,Elias,Silverio,669.0,3487.0,0.0,172.0,65.0,172.0,65.0,1.0,1.0,1.0,0.0,0:38,3,3,4:21,F,Lightweight,M,Submission,Rear Naked Choke
Anshul,Jubli,Jeka,Saragih,818.0,2314.0,0.0,40.0,20.0,25.0,14.0,0.0,0.0,0.0,0.0,0:09,3,2,3:44,F,Lightweight,M,KO/TKO,Elbows to Head From Mount
Kurt,Holobaugh,Thiago,Moises,1643.0,2526.0,0.0,160.0,115.0,102.0,66.0,6.0,4.0,1.0,0.0,7:51,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Jesse,Ronson,Rafa,Garcia,2869.0,953.0,0.0,126.0,73.0,80.0,35.0,4.0,3.0,1.0,0.0,4:37,3,2,4:50,F,Lightweight,M,Submission,Rear Naked Choke
Jesse,Ronson,Joaquim,Silva,688.0,953.0,1.0,96.0,51.0,90.0,45.0,0.0,0.0,0.0,0.0,0:11,3,2,3:08,F,Lightweight,M,KO/TKO,Flying Knee Head
Jesse,Ronson,Francisco,Trinaldo,358.0,953.0,0.0,154.0,61.0,148.0,55.0,4.0,1.0,0.0,0.0,1:58,3,3,5:00,F,Lightweight,M,Decision,Split
Jesse,Ronson,Michel,Prazeres,1166.0,953.0,0.0,77.0,50.0,43.0,19.0,15.0,7.0,0.0,0.0,8:36,3,3,5:00,F,Lightweight,M,Decision,Split
Natan,Levy,Rafa,Garcia,2869.0,2036.0,0.0,117.0,55.0,91.0,35.0,12.0,7.0,0.0,0.0,5:37,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Jordan,Leavitt,Paddy,Pimblett,1199.0,2085.0,0.0,53.0,30.0,39.0,17.0,1.0,1.0,4.0,0.0,1:44,3,2,2:46,F,Lightweight,M,Submission,Rear Naked Choke
Jordan,Leavitt,Claudio,Puelles,1152.0,2085.0,0.0,100.0,71.0,33.0,20.0,4.0,4.0,0.0,0.0,10:01,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Jordan,Leavitt,Matt,Wiman,116.0,2085.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0:00,3,1,0:22,F,Lightweight,M,KO/TKO,Slam to   On Ground
Kazula,Vargas,Paddy,Pimblett,1199.0,284.0,0.0,8.0,5.0,6.0,3.0,2.0,1.0,1.0,0.0,0:53,3,1,3:49,F,Lightweight,M,Submission,Rear Naked Choke
Kazula,Vargas,Brok,Weaver,171.0,284.0,0.0,10.0,6.0,9.0,5.0,0.0,0.0,1.0,0.0,0:00,3,1,4:02,F,Lightweight,M,DQ,Illegal Knee on Ground
Luigi,Vendramini,Paddy,Pimblett,1199.0,268.0,1.0,81.0,47.0,81.0,47.0,2.0,0.0,0.0,0.0,0:09,3,1,4:25,F,Lightweight,M,KO/TKO,Punches to Head At Distance
Luigi,Vendramini,Fares,Ziam,11.0,268.0,0.0,125.0,43.0,121.0,39.0,0.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Majority
Jessin,Ayari,Luigi,Vendramini,268.0,3900.0,1.0,24.0,14.0,23.0,13.0,1.0,0.0,0.0,0.0,0:02,3,1,1:12,F,Lightweight,M,KO/TKO,Kick to Head At Distance
Jessin,Ayari,Stevie,Ray,1096.0,3900.0,0.0,174.0,75.0,174.0,75.0,0.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Joe,Proctor,Ramsey,Nijem,1474.0,1156.0,1.0,204.0,117.0,117.0,49.0,10.0,5.0,0.0,0.0,7:53,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Joe,Proctor,Justin,Salas,888.0,1156.0,0.0,86.0,35.0,86.0,35.0,4.0,0.0,0.0,0.0,0:36,3,2,3:27,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Joe,Proctor,Cristiano,Marcello,1870.0,1156.0,0.0,121.0,44.0,100.0,26.0,10.0,1.0,1.0,0.0,3:22,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Alan,Patrick,Michael,Johnson,2364.0,1298.0,1.0,61.0,40.0,48.0,30.0,1.0,1.0,0.0,0.0,2:01,3,2,3:22,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Alan,Patrick,John,Makdessi,1896.0,1298.0,0.0,134.0,66.0,129.0,61.0,0.0,0.0,0.0,0.0,0:01,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Alan,Patrick,Bobby,Green,2728.0,1298.0,0.0,149.0,109.0,95.0,61.0,6.0,4.0,0.0,0.0,7:31,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Alan,Patrick,Scott,Holtzman,2522.0,1298.0,1.0,138.0,96.0,111.0,73.0,2.0,1.0,0.0,0.0,5:36,3,3,3:42,F,Lightweight,M,KO/TKO,Elbows to Head From Mount
Alan,Patrick,Mairbek,Taisumov,466.0,1298.0,1.0,44.0,24.0,43.0,23.0,0.0,0.0,0.0,0.0,0:15,3,2,1:30,F,Lightweight,M,KO/TKO,Kick to Head At Distance
